codigo_dato,descripcion_dato,detalle_dato
8000111,A11 - Cartera Irregular Sector Privado (%),Cartera Irregular del Sector Privado (A11): Morosidad específica de los préstamos al sector privado. Un aumento indica más créditos privados en incumplimiento; una disminución sugiere una cartera privada más sana.
80001111,L1 - Liquidez Total con Posición de Call (%),"Liquidez Amplia (L1): Cobertura de depósitos (y call tomados) con activos de rápida realización (efectivo, bancos, títulos cotizables, instrumentos BCRA, neto de pases). Un L1 alto indica amplia holgura de liquidez; un L1 bajo, menor respaldo líquido frente a depósitos."
100010000000,A C T I V O,Encabezado del estado de situación patrimonial: **Activo** (bienes y derechos de la entidad).
100010100000,Efectivo y deposito en bancos,"Activo (BALRES). Efectivo y deposito en bancos. Subrubro dentro de **A C T I V O**. Disponibilidades: efectivo en caja y depósitos a la vista en BCRA/otros bancos. Sirve para medir liquidez inmediata. En moneda homogénea, una suba suele reflejar acumulación real de liquidez (o menor colocación en crédito/inversiones); una baja, uso de liquidez para prestar, invertir o pagar obligaciones."
100010200000,Títulos Públicos y Privados,"Activo (BALRES). Títulos Públicos y Privados. Subrubro dentro de **A C T I V O**. Tenencias de instrumentos de inversión (títulos públicos, privados y otros valores). Mide la exposición a riesgo de mercado y la estrategia de colocación/liquidez. En moneda homogénea, una suba indica mayor colocación real en valores (o revalorización real); una baja puede indicar desarme de cartera o migración hacia préstamos u otros activos."
100010300000,Préstamos,"Activo (BALRES). Préstamos. Subrubro dentro de **A C T I V O**. Saldo de créditos otorgados (cartera) antes de previsiones, según clasificación del BCRA. Es el principal activo generador de intereses y de riesgo de crédito. En moneda homogénea, una suba sugiere expansión real del crédito; una baja, contracción, castigos o recomposición hacia otros activos."
100010301000,Sector Público no Financiero,"Activo (BALRES). Sector Público no Financiero. Subrubro dentro de **A C T I V O**. Exposición/financiamiento al sector público no financiero (gobierno nacional, provincias, municipios, etc.), según clasificación regulatoria. En moneda homogénea, variaciones reflejan cambios reales en la exposición a ese sector (no solo inflación)."
100010302000,Sector Financiero,"Activo (BALRES). Sector Financiero. Subrubro dentro de **A C T I V O**. Operaciones con otras entidades financieras (interbancario, colocaciones o financiamiento entre entidades). En moneda homogénea, una suba indica mayor exposición/intermediación interbancaria en términos reales."
100010303000,Sector Privado no Financiero y Residentes en el Ext.,"Activo (BALRES). Sector Privado no Financiero y Residentes en el Ext.. Subrubro dentro de **A C T I V O**. Cartera/exposición al sector privado no financiero y residentes en el exterior, según clasificación del BCRA. En moneda homogénea, permite comparar el tamaño real de la cartera privada entre períodos."
100010303001,Adelantos,"Activo (BALRES). Adelantos. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Adelantos en cuenta corriente: crédito de muy corto plazo asociado a cuentas corrientes. En moneda homogénea, una suba puede indicar mayor uso real de descubierto (más demanda de liquidez de empresas/personas)."
100010303005,"Doc a sola firma, descont. y comprados","Activo (BALRES). Doc a sola firma, descont. y comprados. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Documentos a sola firma descontados/comprados: financiamiento mediante descuento de documentos (pagarés, etc.). En moneda homogénea, muestra cambios reales en este tipo de financiamiento de corto/mediano plazo."
100010303010,Hipotecarios,"Activo (BALRES). Hipotecarios. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Créditos con garantía hipotecaria (vivienda u otros inmuebles). En moneda homogénea, una suba indica expansión real del crédito hipotecario; una baja, contracción o amortizaciones superiores a nuevas altas."
